region,category_le,mode_le,powertrain_oe,param_EV sales,param_EV sales share,param_EV stock,param_EV stock share,unit_Vehicles,unit_percent,value_scaled,year_scaled
Belgium,0,0,3.0,0,0,1,0,1,0,-0.09246631986428465,-0.715611014562493
Belgium,0,0,0.0,0,0,1,0,1,0,-0.09246631986428465,-0.44612838063156146
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09224689306418767,-0.44612838063156146
Belgium,0,0,1.0,0,0,1,0,1,0,-0.09229638783112683,-0.44612838063156146
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09133948900363621,-0.44612838063156146
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,0.09283688723030159
Belgium,0,2,1.0,0,0,1,0,1,0,-0.09247621881767248,-0.44612838063156146
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09246631986428465,-0.44612838063156146
Belgium,0,1,0.0,0,0,1,0,1,0,-0.08389877570711429,-0.44612838063156146
Belgium,0,1,3.0,0,1,0,0,0,1,-0.09247506393969857,-0.44612838063156146
Belgium,0,1,2.0,0,0,1,0,1,0,-0.09244487213194434,-0.44612838063156146
Belgium,0,1,1.0,0,0,1,0,1,0,-0.07432978743220806,-0.44612838063156146
Belgium,0,1,1.0,1,0,0,0,1,0,-0.08076410713430018,-0.44612838063156146
Belgium,0,0,3.0,0,0,0,1,0,1,-0.09247663127406365,-0.44612838063156146
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247752217987937,-0.44612838063156146
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247770861015263,-0.44612838063156146
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247740669207706,-0.44612838063156146
Belgium,0,1,0.0,0,0,0,1,0,1,-0.09247699423573506,-0.17664574670062994
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247768716242599,-0.17664574670062994
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247758817288819,-0.17664574670062994
Belgium,0,0,3.0,0,0,0,1,0,1,-0.09247636730193004,-0.17664574670062994
Belgium,0,0,3.0,0,1,0,0,0,1,-0.09247748918335037,-0.17664574670062994
Belgium,0,1,1.0,1,0,0,0,1,0,-0.07267996186756905,-0.17664574670062994
Belgium,0,1,1.0,0,0,1,0,1,0,-0.05453188065653997,-0.17664574670062994
Belgium,0,1,2.0,0,0,1,0,1,0,-0.09242672405073331,-0.17664574670062994
Belgium,0,1,3.0,0,1,0,0,0,1,-0.0924735790969264,-0.17664574670062994
Belgium,0,1,0.0,0,0,1,0,1,0,-0.08010417690844457,-0.17664574670062994
Belgium,0,1,2.0,1,0,0,0,1,0,-0.0924597205620261,-0.17664574670062994
Belgium,0,2,1.0,0,0,1,0,1,0,-0.09247126934097857,-0.17664574670062994
Belgium,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,-0.17664574670062994
Belgium,0,2,0.0,0,0,1,0,1,0,-0.0911910047028187,-0.17664574670062994
Belgium,0,2,1.0,1,0,0,0,1,0,-0.09176844365044234,-0.17664574670062994
Belgium,0,0,1.0,0,0,1,0,1,0,-0.09226339131983405,-0.17664574670062994
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09226339131983405,-0.17664574670062994
Belgium,0,0,0.0,0,0,1,0,1,0,-0.09246137038759074,-0.17664574670062994
Belgium,0,0,1.0,1,0,0,0,1,0,-0.09247456899210785,-0.17664574670062994
Belgium,0,0,0.0,0,0,1,0,1,0,-0.0911992538306419,0.09283688723030159
Belgium,0,2,0.0,1,0,0,0,1,0,-0.09176844365044234,0.09283688723030159
Belgium,0,0,1.0,0,0,1,0,1,0,-0.09224689306418767,0.09283688723030159
Belgium,0,2,1.0,1,0,0,0,1,0,-0.09247456899210785,0.09283688723030159
Belgium,0,2,0.0,0,0,1,0,1,0,-0.09082804307859811,0.09283688723030159
Belgium,0,1,0.0,1,0,0,0,1,0,-0.0865384966105367,0.09283688723030159
Belgium,0,2,1.0,0,0,1,0,1,0,-0.09246631986428465,0.09283688723030159
Belgium,0,1,2.0,1,0,0,0,1,0,-0.09245642091089681,0.09283688723030159
Belgium,0,1,0.0,0,0,1,0,1,0,-0.07432978743220806,0.09283688723030159
Belgium,0,0,0.0,1,0,0,0,1,0,-0.09176844365044234,0.09283688723030159
Belgium,0,1,3.0,0,1,0,0,0,1,-0.09247645804234789,0.09283688723030159
Belgium,0,1,0.0,0,0,1,0,1,0,-0.092405276318393,0.09283688723030159
Belgium,0,1,1.0,0,0,1,0,1,0,-0.0380336250101499,0.09283688723030159
Belgium,0,1,1.0,1,0,0,0,1,0,-0.07663954322270267,0.09283688723030159
Belgium,0,0,3.0,0,1,0,0,0,1,-0.09247555888748596,0.09283688723030159
Belgium,0,0,3.0,0,0,0,1,0,1,-0.09247605383507669,0.09283688723030159
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247730770253924,0.09283688723030159
Belgium,0,2,3.0,0,0,0,1,0,1,-0.09247765416592159,0.09283688723030159
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247664777230356,0.09283688723030159
Belgium,0,1,3.0,0,0,0,1,0,1,-0.09247621881767248,0.3623195211612331
Belgium,0,2,3.0,0,1,0,0,0,1,-0.09247706022869472,0.3623195211612331
